V/V0_es,P_es,V/V0_em,P_em,V/V0_am,P_am,V/V0_as,P_as
0.85,27.64301,0.95,0,0.935,13.10631,1,0
0.843,30.27821,0.94,2.09191,0.92,16.85914,0.98,3.55205
0.84,31.44348,0.93,4.30744,0.91,19.54397,0.97,5.47671
0.83,35.49111,0.92,6.65492,0.9,22.38687,0.96,7.50888
0.825,37.61354,0.91,9.14338,0.89,25.39883,0.95,9.65546
0.82,39.8051,0.9,11.78256,0.88,28.59175,0.94,11.9239
0.81,44.40646,0.89,14.58306,0.875,30.26007,0.935,13.10631
0.8,49.31819,0.88,17.55634,0.865,33.74902,,
,,0.875,19.11162,0.85,39.39129,,
,,0.865,22.36777,0.845,41.38914,,
,,0.85,27.64301,0.84,43.44917,,
,,,,0.835,45.57368,,
